"subj","Participant_1","Q1_participant1_ses1_affecttrust1","Q2_participant1_ses1_affecttrust2","Q3_participant1_ses1_affecttrust3","Q4_participant1_ses1_affecttrust4","Q5_participant1_ses1_affecttrust4","Q6_participant1_ses1_cognitivetrust1","Q7_participant1_ses1_cognitivetrust2","Q8_participant1_ses1_cognitivetrust3","Q9_participant1_ses1_cognitivetrust4","Q10_participant1_ses1_cognitivetrust5","Q11_participant1_ses1_cognitivetrust6","Q12_participant1_ses2_affecttrust1","Q13_participant1_ses2_affecttrust2","Q14_participant1_ses2_affecttrust3","Q15_participant1_ses2_affecttrust4","Q16_participant1_ses2_affecttrust5","Q17_participant1_ses2_cognitivetrust1","Q18_participant1_ses2_cognitivetrust2","Q19_participant1_ses2_cognitivetrust3","Q20_participant1_ses2_cognitivetrust4","Q21_participant1_ses2_cognitivetrust5","Q22_participant1_ses2_cognitivetrust6","Q23_participant1_ses3_affecttrust1","Q24_participant1_ses3_affecttrust2","Q25_participant1_ses3_affecttrust3","Q26_participant1_ses3_affecttrust4","Q27_participant1_ses3_affecttrust5","Q28_participant1_ses3_cognitivetrust1","Q29_participant1_ses3_cognitivetrust2","Q30_participant1_ses3_cognitivetrust3","Q31_participant1_ses3_cognitivetrust4","Q32_participant1_ses3_cognitivetrust5","Q33_participant1_ses3_cognitivetrust6","Q34_participant1","Q35_participant1","Q37_participant1","Q38_participant1","Q39_participant1","Q40_participant1","SC0_participant1","Participant_2","Q1_participant2_ses1_affecttrust1","Q2_participant2_ses1_affecttrust2","Q3_participant2_ses1_affecttrust3","Q4_participant2_ses1_affecttrust4","Q5_participant2_ses1_affecttrust4","Q6_participant2_ses1_cognitivetrust1","Q7_participant2_ses1_cognitivetrust2","Q8_participant2_ses1_cognitivetrust3","Q9_participant2_ses1_cognitivetrust4","Q10_participant2_ses1_cognitivetrust5","Q11_participant2_ses1_cognitivetrust6","Q12_participant2_ses2_affecttrust1","Q13_participant2_ses2_affecttrust2","Q14_participant2_ses2_affecttrust3","Q15_participant2_ses2_affecttrust4","Q16_participant2_ses2_affecttrust5","Q17_participant2_ses2_cognitivetrust1","Q18_participant2_ses2_cognitivetrust2","Q19_participant2_ses2_cognitivetrust3","Q20_participant2_ses2_cognitivetrust4","Q21_participant2_ses2_cognitivetrust5","Q22_participant2_ses2_cognitivetrust6","Q23_participant2_ses3_affecttrust1","Q24_participant2_ses3_affecttrust2","Q25_participant2_ses3_affecttrust3","Q26_participant2_ses3_affecttrust4","Q27_participant2_ses3_affecttrust5","Q28_participant2_ses3_cognitivetrust1","Q29_participant2_ses3_cognitivetrust2","Q30_participant2_ses3_cognitivetrust3","Q31_participant2_ses3_cognitivetrust4","Q32_participant2_ses3_cognitivetrust5","Q33_participant2_ses3_cognitivetrust6","Q34_participant2","Q35_participant2","Q37_participant2","Q38_participant2","Q39_participant2","Q40_participant2","SC0_participant2"
56,1,4,3,4,5,5,5,5,5,4,4,3,5,4,4,4,5,5,5,5,5,3,5,3,5,2,5,4,5,5,4,3,3,4,1,3,19,1,2,,121,2,3,3,3,4,3,4,2,3,4,3,2,3,3,3,4,3,4,2,4,3,3,2,3,3,3,3,3,4,3,4,3,4,2,1,1,18,1,6,,109
58,1,1,2,3,2,2,4,5,2,2,4,5,4,4,3,4,4,5,5,4,2,4,4,5,5,5,5,5,,5,5,5,5,5,2,4,18,2,2,,134,2,5,5,3,5,4,5,5,5,5,5,1,5,5,4,5,4,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,5,2,2,1,18,2,2,,157
59,1,4,4,3,4,3,5,4,5,4,4,3,4,4,4,4,3,5,4,4,4,4,3,4,4,4,4,4,5,5,5,4,4,4,2,2,19,2,2,,115,2,5,5,4,5,5,5,5,5,5,4,3,5,5,4,5,3,5,4,4,4,4,2,4,4,3,4,3,4,4,4,4,4,3,2,1,18,2,5,,139
60,1,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,2,2,19,1,2,,131,2,4,4,2,4,4,4,4,4,3,4,1,4,5,4,5,4,5,5,5,4,5,1,4,5,4,5,4,5,5,5,4,5,1,2,2,21,2,2,,144
61,1,5,5,3,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,1,2,2,19,2,4,,122,2,3,3,2,3,3,5,3,4,5,4,3,4,3,3,3,4,5,3,4,4,5,5,3,3,3,3,3,5,4,5,5,4,4,2,1,18,2,4,,117
62,1,2,4,2,4,4,5,5,5,4,5,1,3,4,4,5,2,5,5,5,4,4,1,2,4,4,4,2,5,5,5,4,4,1,1,4,19,1,2,,157,2,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,18,2,4,,164
63,1,3,2,2,1,2,2,2,4,3,5,1,4,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,18,2,4,,135,2,3,1,2,3,2,4,5,4,3,3,2,3,2,3,3,2,4,5,5,3,4,1,2,2,4,4,2,5,5,5,4,3,1,2,1,18,2,6,,114
64,1,5,5,2,4,1,5,5,5,4,3,3,5,3,4,4,3,5,5,5,4,4,2,4,4,4,4,4,5,5,5,4,5,1,2,2,18,2,2,,128,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1,19,2,5,,165
65,1,2,3,2,3,2,4,3,4,5,5,1,3,2,2,3,4,4,4,4,4,4,1,3,3,1,3,3,4,4,4,4,4,1,2,1,18,2,2,,137,2,4,4,4,4,2,5,5,3,4,4,3,4,3,3,3,3,4,4,5,3,4,2,3,3,3,4,2,4,4,4,3,3,2,2,1,18,2,2,,119
66,1,5,4,3,4,5,5,5,5,4,5,2,5,4,3,5,5,5,5,5,4,5,2,5,4,3,5,5,5,5,5,4,5,2,1,4,19,2,2,,115,2,5,5,3,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,4,4,5,2,5,5,5,5,5,5,5,5,5,5,3,1,5,20,2,2,,152
67,1,5,5,4,5,4,5,5,5,5,5,1,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,18,2,2,,149,2,5,5,4,3,2,4,5,4,4,5,3,5,4,3,5,2,3,5,5,4,5,2,4,5,4,5,4,5,5,5,5,5,1,2,1,21,2,2,,141
68,1,2,4,4,4,4,5,3,4,3,4,2,4,4,3,4,3,5,4,5,3,4,2,4,5,2,4,4,5,5,5,3,4,1,2,1,20,2,6,,162,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,20,1,2,,99
69,1,3,3,3,3,3,4,5,4,4,5,1,3,3,3,3,4,5,5,4,4,5,1,3,3,4,4,3,5,5,5,5,5,1,2,3,19,2,4,,130,2,4,3,2,4,4,5,4,5,3,4,3,2,3,3,3,3,4,4,4,4,4,2,3,3,2,3,3,4,4,4,4,4,1,2,1,18,2,5,,118
70,1,4,4,4,,,5,5,5,4,5,1,4,4,4,4,3,5,5,5,4,4,1,4,4,3,5,3,5,5,5,5,4,1,2,1,20,2,7,,133,2,3,5,4,4,4,4,4,5,4,5,2,4,3,4,4,5,5,5,5,5,5,2,4,4,5,4,5,5,5,5,5,5,4,2,2,18,2,2,,144
71,1,4,5,4,4,4,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,4,19,2,2,"Middle eastern/arabic",136,2,3,3,4,3,3,5,5,4,4,4,2,3,4,3,3,3,4,4,5,3,4,2,3,3,3,3,3,5,4,5,4,4,2,2,4,21,2,5,,123
72,1,1,1,1,3,1,4,5,5,4,4,1,1,1,1,3,1,4,5,5,4,4,1,1,3,1,3,1,5,5,4,4,4,1,2,1,20,2,3,,160,2,1,1,1,2,1,3,3,3,3,2,1,1,3,1,3,1,3,3,1,3,3,3,1,3,1,3,1,3,3,4,3,3,3,2,1,19,2,5,,78
73,1,4,3,4,4,4,4,4,4,4,4,1,4,4,5,4,5,4,5,5,4,4,1,5,4,5,4,5,5,5,5,4,5,1,2,3,18,1,2,,104,2,3,4,4,3,3,4,4,4,4,4,1,3,5,4,4,3,4,4,5,5,5,1,4,4,4,4,3,5,5,5,5,5,1,2,2,18,2,5,,138
74,1,4,5,4,4,4,4,5,5,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,5,4,4,4,2,2,1,18,2,2,,145,2,2,1,3,3,1,5,4,5,3,3,4,2,2,1,3,2,4,4,5,3,4,4,2,2,2,3,3,5,5,5,4,4,4,2,2,18,2,2,,101
75,1,5,4,3,3,4,4,5,4,3,4,3,4,4,3,5,3,5,4,5,4,5,2,5,5,4,4,4,5,5,5,5,5,2,2,3,19,2,4,,132,2,3,5,3,5,5,5,5,5,3,5,3,3,5,3,5,5,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,3,2,3,18,2,2,,145
76,1,2,5,3,3,4,4,4,5,4,4,4,2,3,3,3,4,4,4,5,4,4,3,3,3,3,3,4,4,4,5,4,4,4,2,3,21,2,2,,139,2,4,5,4,4,4,5,5,4,4,4,1,4,4,4,4,4,5,5,5,5,5,1,4,4,5,4,5,5,5,5,5,5,1,2,3,32,2,5,,150
